race_name,race_describe,race_feature_1,race_feature_2,race_feature_3,race_feature_4,race_feature_5,race_skill_1,race_skill_2,race_skill_3,race_skill_4,race_skill_5,race_skill_6,race_skill_7,race_skill_8,race_skill_9,race_skill_10
土灵,土灵是以活体岩石为身躯的泰坦造物种族，胸中流淌着艾泽拉斯世界之魂的精华。这些远古的住民最近摆脱了束缚着他们的律令。如今，他们怀着无法满足的好奇心迈开了步伐，与联盟和部落一起探索这个世界。,主城：多恩诺嘉尔 一座土灵在多恩岛中心筑起的巨型要塞。联盟和部落的英雄们将以此作为最新的活动枢纽，还能在这里获得许多服务。,种族坐骑：板岩磐羊 土灵农场主经常会谈起这种生物的韧性，还有雨水如何在它光洁的皮毛上弹起。完成同盟种族：土灵成就即可解锁。该坐骑所有种族皆可使用，并且账号共享。,传承护甲 使用土灵同盟种族升至50级，你就能获得成就“土灵的传承”，以及土灵传承护甲。这些护甲只能由土灵角色用于幻化。,,,静默省思 从你的内心吸取能量，在一段时间内恢你的生命值和法力值。,艾泽里特涌动 土灵能运用一种强化法术激发内在力量，释放时会在前方锥形区域召唤艾泽里特的能量，伤害敌人的同时治疗盟友。,非凡高产 提升精细值。精细值可提高采集时获得额外材料的几率。,矿石摄入 你始终具有更强效的进食充分效果，但无法食用食物。食用一块卡兹阿加宝石可以更改进食充分的增益效果。,泰坦打造的身躯 装备物品的基础护甲值提高10%。,大开眼界 当你通过探索地点获得经验值时，获得的探索经验值提高200%。,静默省思 从你的内心吸取能量，在一段时间内恢你的生命值和法力值。,艾泽里特涌动 土灵能运用一种强化法术激发内在力量，释放时会在前方锥形区域召唤艾泽里特的能量，伤害敌人的同时治疗盟友。,,
狐人,足智多谋的狐人已经在环境严酷的沃顿沙漠中生活了许多世代。他们驾驶着做工精密的大篷车，在彼此的看顾下前往沙丘的另一边寻找补给。尽管狐人身形矮小，但他们在战斗中的凶狠与狡猾，已经足以用来打倒那些低估他们的蠢货。作为部落恰如其分的新成员，他们驾驶着大篷车离开了沙漠，热切地寻找着冒险。,奥格瑞玛大使馆 奥格瑞玛大使馆坐落在精神谷的南边，专门为迎接部落的新盟友而建造。在大使馆中找到季·火掌，他会派你与基罗会面。向基罗伸出援手，就能获得狐人的效忠。,种族坐骑：商队土狼 这只沙漠动物背上的遮篷也可以藏在你的营地里，以便让你感受到拂过你的毛皮的热风。,传承护甲 创建新的狐人角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,警觉之嗅 遭受敌人的第一次攻击时，根据你最大生命值百分比降低受到的伤害。,袋里乾坤 使用袋子里的一个宝物，对敌人造成伤害或者治疗盟友。,翻找背包 改变百宝袋里的宝物。,扎营 在野外搭建你的营地。,返回营地 传送到你营地所在的位置。,羊驼鞍囊 提高背包的容量。,火焰抗性 降低受到的火焰伤害。,警觉之嗅 遭受敌人的第一次攻击时，根据你最大生命值百分比降低受到的伤害。,袋里乾坤 使用袋子里的一个宝物，对敌人造成伤害或者治疗盟友。,
赞达拉巨魔,赞达拉巨魔是一个自豪的种族，他们的起源可以追溯到艾泽拉斯历史最久远的时期。他们勇猛的战士会骑乘恐龙冲入战场，并且拥有世界上最令人闻风丧胆的海军舰队。但是不断入侵他们边界的敌人，还有大王议会内部的纷争，都已经威胁到了这个王国的基础。通过让赞达拉重归稳定，部落的英雄们可以获得一个强大的全新盟友。,奥格瑞玛大使馆 奥格瑞玛大使馆坐落在精神谷的南边，专门为迎接部落的新盟友而建造。在大使馆中找到洛坎，他将协助你赢得赞达拉巨魔的效忠。,种族坐骑：赞达拉恐角龙 赞达拉巨魔的土地上栖息着强大的野兽，他们也因对野兽的驾驭而闻名于世，这其中就包括一些艾泽拉斯最残忍的爬行类生物。,传承护甲 创建新的赞达拉巨魔角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,翼手龙滑翔 召唤一只翼手龙，让你滑翔至地面。,神灵之拥 通过向世界各地的洛阿神龛献祭来选择你的洛阿神灵。每个洛阿神灵都会提供独特的力量。,黄金之城 增加从生物身上获得的金币。,再生 在短暂时间内快速恢复生命值。,翼手龙滑翔 召唤一只翼手龙，让你滑翔至地面。,神灵之拥 通过向世界各地的洛阿神龛献祭来选择你的洛阿神灵。每个洛阿神灵都会提供独特的力量。,,,,
玛格汉兽人,无数个世代以来，德拉诺的兽人氏族之间一直争乱不休。当古尔丹呈上其恶魔主人的鲜血时，玛格汉（兽人语“纯净者”，未受腐化之意）兽人氏族拒绝了这笔黑暗的交易，并团结起来全力驱逐燃烧军团。在地狱火堡垒被攻陷之后，玛格汉兽人立下誓言，他们有朝一日将向艾泽拉斯的英雄们偿还这份人情。随着与联盟之间的冲突不断升级，部落需要玛格汉兽人的力量来赢取胜利。,奥格瑞玛大使馆 奥格瑞玛大使馆坐落在精神谷的南边，专门为迎接部落的新盟友而建造。在大使馆中找到伊崔格，他将协助你招募玛格汉兽人。,种族坐骑：玛格汉恐狼 这种狼来自德拉诺本土，凶猛而忠诚，深受玛格汉兽人的喜爱，此外，在冬天的寒冷长夜里也可以依偎在它们身旁。,传承护甲 创建新的玛格汉兽人角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,狂野之血 缩短你受到的中毒、和诅咒效果的持续时间。,先祖召唤 唤醒先祖的灵魂，使你获得他们的力量。,地广天空 在户外时，提升坐骑速度。,同步活力 提高宠物的生命值。,狂野之血 缩短你受到的中毒、和诅咒效果的持续时间。,先祖召唤 唤醒先祖的灵魂，使你获得他们的力量。,,,,
至高岭牛头人,作为上古之战的英雄胡恩的后裔，至高岭牛头人崇拜大地、河流与天空之灵。虽然燃烧军团入侵了他们的土地，并在部族间种下了纷争的种子，但高岭诸族还是再次团结到了一起。现在，他们终于做好了准备，走出圣山，与他们来自卡利姆多的同胞并肩战斗，将他们的高尚品格和惊人力量带到强大的部落。,奥格瑞玛大使馆 奥格瑞玛大使馆坐落在精神谷的南边，专门为迎接部落的新盟友而建造。在大使馆中找到贝恩·血蹄，他会协助你招募至高岭牛头人。,种族坐骑：至高岭雷蹄驼鹿 这是一份来自牛头人的谢礼，他们训练这些脚步稳健的高地麋鹿，帮助他们在至高岭的山路和峰峦间安全穿行。,传承护甲 创建新的高岭牛头人角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,艰苦朴素 有几率拾取到额外的肉类和鱼。,蛮牛冲撞 向前冲锋并击倒敌人。,登山家 提高全能。,铁角之傲 提高采矿技能和采矿速度。,皮糙肉厚 减少你在之后受到的攻击的伤害。,艰苦朴素 有几率拾取到额外的肉类和鱼。,蛮牛冲撞 向前冲锋并击倒敌人。,,,
夜之子,在保护屏障下与世隔绝地生活了一万年后，苏拉玛的精灵越来越依赖暗夜井的奥术魔力。为了保护这座力量之泉，夜之子的领袖们与燃烧军团达成了协议，但却使自己的王国陷入了内战。从他们的恶魔主子手中夺回自由后，夜之子与部落达成了同盟，以期找回自己在这个世界的位置。,奥格瑞玛大使馆 奥格瑞玛大使馆坐落在精神谷的南边，专门为迎接部落的新盟友而建造。在大使馆中找到女伯爵莉亚德琳，她将在招募夜之子的过程中协助你。,种族坐骑：夜之子魔刃豹 这些高贵的猫科动物天生就有嗅探奥术能量富集之地的能力，夜之子以此做为结盟的谢礼。,传承护甲 创建新的夜之子角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,奥术抗性 降低你受到的奥术伤害。,源远流长 提升铭文技能。,魔法亲和 提高造成的魔法伤害。,戏法 召唤出一本飞行的魔典，让你能够使用信箱。,奥术脉冲 用奥术能量对一片区域施法，对其中的敌人造成伤害并降低其移动速度。,奥术抗性 降低你受到的奥术伤害。,源远流长 提升铭文技能。,,,
土灵,土灵是以活体岩石为身躯的泰坦造物种族，胸中流淌着艾泽拉斯世界之魂的精华。这些远古的住民最近摆脱了束缚着他们的律令。如今，他们怀着无法满足的好奇心迈开了步伐，与联盟和部落一起探索这个世界。,主城：多恩诺嘉尔 一座土灵在多恩岛中心筑起的巨型要塞。联盟和部落的英雄们将以此作为最新的活动枢纽，还能在这里获得许多服务。,种族坐骑：板岩磐羊 土灵农场主经常会谈起这种生物的韧性，还有雨水如何在它光洁的皮毛上弹起。完成同盟种族：土灵成就即可解锁。该坐骑所有种族皆可使用，并且账号共享。,传承护甲 使用土灵同盟种族升至50级，你就能获得成就“土灵的传承”，以及土灵传承护甲。这些护甲只能由土灵角色用于幻化。,,,静默省思 从你的内心吸取能量，在一段时间内恢你的生命值和法力值。,艾泽里特涌动 土灵能运用一种强化法术激发内在力量，释放时会在前方锥形区域召唤艾泽里特的能量，伤害敌人的同时治疗盟友。,非凡高产 提升精细值。精细值可提高采集时获得额外材料的几率。,矿石摄入 你始终具有更强效的进食充分效果，但无法食用食物。食用一块卡兹阿加宝石可以更改进食充分的增益效果。,泰坦打造的身躯 装备物品的基础护甲值提高10%。,大开眼界 当你通过探索地点获得经验值时，获得的探索经验值提高200%。,静默省思 从你的内心吸取能量，在一段时间内恢你的生命值和法力值。,艾泽里特涌动 土灵能运用一种强化法术激发内在力量，释放时会在前方锥形区域召唤艾泽里特的能量，伤害敌人的同时治疗盟友。,,
机械侏儒,很久以前，一群狂热的侏儒开始寻找方法来强化自身的体魄与心智。他们在与世隔绝的麦卡贡岛定居下来，用古老的技术进行实验，试图逆转血肉诅咒，最终成为有生命的机器。在面对了完全机械化的危险后，他们找到了血肉与钢铁之间的理想平衡。现在机械侏儒终于与他们的侏儒表亲团聚，同时也为联盟增添了一份韧性与独创性。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。在大使馆中找到艾莎·云歌，她会指引你与凯尔希·钢烁见面。向凯尔希伸出援手，就能获得机械侏儒的效忠。,种族坐骑：麦卡贡机械陆行鸟 逻辑上来说绝对是最优秀的坐骑，具有许多功能——有时候，你需要前往特定地点，同时在到达以后还需要去拿放在高处的东西。,传承护甲 创建新的机械侏儒角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,万能小指 可以打开锁住的箱子和门。,超有机光影幻象 召唤你的幻象作为诱饵，干扰敌人。,战斗分析 你在战斗期间会收集并分析战斗数据，提高你的主属性。,匠工大师 你可以使自己成为个人用锻造铁砧、烹饪用火和采矿熔炉。除此之外，你的肢体内包含着各种专业工具。,紧急意外防护 当生命值低于某一水平时，基于自身最大生命值治疗自己。,万能小指 可以打开锁住的箱子和门。,超有机光影幻象 召唤你的幻象作为诱饵，干扰敌人。,,,
库尔提拉斯人,无畏的探索者们建立了库尔提拉斯，他们曾在未知的水域乘风破浪，追求惊心动魄的冒险。作为洛丹伦联盟的关键一员，库尔提拉斯海军的传奇舰队曾统治过艾泽拉斯的海洋。但多年的混乱与苦难之后，这个王国已经变得孤立而脆弱，无法抵御黑暗势力的影响。多亏了勇敢的英雄出手相助，普罗德摩尔家族已重振声威，库尔提拉斯随时准备再一次和英勇的联盟并肩作战。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。在大使馆中找到海军统帅吉安娜·普罗德摩尔，她将协助你赢得库尔提拉斯的效忠。,种族坐骑：库尔提拉斯军马 库尔提拉斯的军队以传奇般的海军闻名于世，然而拥有强大的骑兵同样让他们引以为傲。,传承护甲 创建新的库尔提拉斯人角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,水手之韵 降低受到的冰霜和自然伤害。,英勇无畏 提高全能，并恢复受到伤害时损失的部分生命值。,大海的孩子 水下屏息的时间更久，并且游泳速度更快。,强力一击 后撤并猛击敌人，对其造成晕眩和击退效果。,多面手 提高所有商业技能。,水手之韵 降低受到的冰霜和自然伤害。,英勇无畏 提高全能，并恢复受到伤害时损失的部分生命值。,,,
黑铁矮人,黑铁矮人是出了名的脾气火爆，顽固不化，他们和其他部族之间一直纷争不断。他们在铁炉堡的一场失败的政变点燃了三锤之战，还有许多黑人矮人曾经被炎魔之王拉格纳罗斯摆布。虽然其中一支矮人效忠摄政女王茉艾拉·索瑞森，但是其他族人并没有站在同一条战线上。联盟殷切希望黑铁部族能够统一起来，协助争夺艾泽里特的力量，与部落抗争。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。在大使馆中找到茉艾拉·索瑞森，她将协助你招募黑铁矮人。,种族坐骑：黑铁熔火犬 这只烈焰裹身的熔火犬来自火焰之地，那里曾是炎魔之王拉格纳罗斯的国度。黑铁矮人喜欢在战斗中骑乘这种火焰般的猎犬，因为那些敢小看它们的糊涂虫无一不被熔火犬烧成了灰烬。,传承护甲 创建新的黑铁矮人角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,饱经战火 降低受到的物理伤害。,烈焰之血 移除有害效果并强化自身。,地下城探索者 提高室内移动速度。,大规模生产 提高锻造技能并提升锻造速度。,钻探机 在户外时可以召唤一台能掘地的钻探机。,饱经战火 降低受到的物理伤害。,烈焰之血 移除有害效果并强化自身。,,,
光铸德莱尼,圣光军团与燃烧军团在扭曲虚空中厮杀了数千年。舍身投入这场漫长远征的德莱尼会接受仪式，将圣光的精华注入体内，成为光铸者。在阿古斯之战获得最终的胜利后，光铸者有了一个新的任务：保护艾泽拉斯不受任何威胁，并帮助联盟击退部落的入侵。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。在大使馆中找到图拉扬，他将协助你招募光铸德莱尼。,种族坐骑：光铸邪能碾压者 这是一份来自光铸德莱尼的谢礼，这头强壮的雷象能够无所畏惧地向黑暗进军。,传承护甲 创建新的光铸德莱尼角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,恶魔之灾 通过杀死恶魔获得的经验值提高20%。,圣光熔炉 提高锻造技能，并能让你召唤一个熔炉。,神圣抗性 降低受到的神圣伤害。,圣光裁决 对范围内敌人造成神圣伤害。,圣光清算 当死亡时候会爆发圣光，对附近的敌人造成神圣伤害，并为盟友回复生命值。,恶魔之灾 通过杀死恶魔获得的经验值提高20%。,圣光熔炉 提高锻造技能，并能让你召唤一个熔炉。,,,
虚空精灵,许多人都曾试图掌握虚空的堕落魔力。大部分这样做的人最终都陷入了疯狂。奥蕾莉亚·风行者决心使用这种力量为艾泽拉斯的福祉而战，成为了第一个成功抗拒暗影低语的凡人。为了帮助一群几乎堕入黑暗的同胞，奥蕾莉亚发誓要教导这些虚空精灵控制体内的暗影，并让他们用这种新获得的力量为联盟效力。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。去大使馆寻找奥蕾莉亚，她会帮助你招募虚空精灵。,种族坐骑：星怨虚空陆行鸟 这些陆行鸟灌注了暗影之力，是以联盟之名钻研虚空之力的精灵的象征。,传承护甲 创建新的虚空精灵角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,空间裂隙 使用空间裂隙传送至附近目的地。,暗夜之寒 降低受到的暗影伤害。,熵能之拥 你的技能有概率让你获得虚空之力的强化，造成额外伤害和治疗效果。,虚灵链接 降低幻化和虚空仓库的费用。,冷静自若 你的施法不会因为受到伤害而延迟。,空间裂隙 使用空间裂隙传送至附近目的地。,暗夜之寒 降低受到的暗影伤害。,,,
龙希尔,大地守护者奈萨里奥将巨龙的精华与凡人种族的适应能力相结合，创造出了一群精英战士，能够在龙裔形态和类人形态之间自由转换。他们在魔法静滞中封存许久，如今已从沉睡中苏醒，来面对巨龙群岛所潜藏的新兴威胁。龙希尔将从禁忌离岛开启旅程，夺回早已分崩离析的回忆，直面崭新的现实。,故土：巨龙群岛 巨龙群岛涌动着元素魔法和艾泽拉斯的生命能量，如今再度苏醒。好奇的龙希尔渴望探索此地的原始奇景，揭晓失落已久的远古奥秘。,种族坐骑：龙麒 这些高贵的野兽在战斗中表现出顽强的韧性，即使面对龙焰时也不会退缩，故而广受尊敬，是龙希尔骑兵队宝贵的坐骑。,幻容 龙希尔可以在两种可定制形态之间自由切换，在人形幻容和威严的龙裔形态下征服强敌、攻坚克难。,领袖：鳞长欣戴赛什 鳞长欣戴赛什认为，部落不过是一群毫无纪律的流浪者组成的团体，但这名暗爪营的领袖不禁对他们的荣誉感和对进步的渴望钦佩有加，并欣然与他们并肩作战。,,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。,敏锐目光 提高你的感知。感知可以提高你在采集时发现稀有材料的能力。,熟悉的天空 你在完全探索的大陆上时，翱翔的冷却时间缩短。,滑翔 主动激活来降低你的坠落速度。,翱翔 聚集你的力量并跃升到空中。,扫尾 挥动你的尾巴，将附近的敌人击飞至空中。,幻容 在你的龙希尔形态和幻容形态之间切换。你的幻容形态散发出魔法，大幅提高你的小队脱离战斗时的生命恢复速度。,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。
熊猫人,对艾泽拉斯世界的其他种族来说，除了传说和神话里的只言片语，熊猫人的一切始终是一个谜。追随火金之道的熊猫人相信，为了追求大义，唯一的错误就是怠于行动。火金派认为道德和理念并无绝对，而是会随时势变化。他们自然与务实的部落走得更近。,家园大陆：潘达利亚 自一万年前的大分裂以来，古老的潘达利亚就一直被浓雾所笼罩，直到再次被世人所发现。在这里，茂密的森林和云雾袅绕的山峰孕育了独特的种族和多样化的物种。,种族坐骑：龙龟 熊猫人一直在寻找象征着自己价值观的坐骑：富有耐心而坚强不屈。龙龟的周身天生覆盖着宛如盔甲的表皮，它们步态沉稳，即使长途跋涉也怡然自得，是熊猫人冒险者完美的旅伴。,领袖：季·火掌 外向、热情而不擅深思的季·火掌总是第一个挺身而出。他坚信最大的不公莫过于无动于衷，而为了保家卫国，不管要付出什么代价都光荣之至。,,,气功掌 在短时间内使目标昏睡。,弹力轻功 使你的坠落伤害减半。,美食家 在进食充分效果中获得额外100%的属性。,食神 提高你的烹饪技能。,平常心 在休息后获得平常时两倍的经验值奖励。,气功掌 在短时间内使目标昏睡。,弹力轻功 使你的坠落伤害减半。,,,
